ID,Name,Concepticon_ID,Concepticon_Gloss,GBIF_ID,GBIF_NAME,canonicalName,rank,kingdom,kingdomKey,phylum,phylumKey,class_,classKey,order,orderKey,family,familyKey,genus,genusKey
brycinus,Brycinus,,,2356281,"Brycinus Valenciennes, 1850",Brycinus,GENUS,Animalia,1,Chordata,44,Actinopterygii,204,Characiformes,537,Alestidae,7199,Brycinus,2356281
brycinusleuciscus,Brycinus leuciscus,,,2356306,"Brycinus leuciscus (Günther, 1867)",Brycinus leuciscus,SPECIES,Animalia,1,Chordata,44,Actinopterygii,204,Characiformes,537,Alestidae,7199,Brycinus,2356281
brycinusnurse,Brycinus nurse,,,2356317,"Brycinus nurse (Rüppell, 1832)",Brycinus nurse,SPECIES,Animalia,1,Chordata,44,Actinopterygii,204,Characiformes,537,Alestidae,7199,Brycinus,2356281
bubalornisalbirostris,Bubalornis albirostris,,,2494074,"Bubalornis albirostris (Vieillot, 1817)",Bubalornis albirostris,SPECIES,Animalia,1,Chordata,44,Aves,212,Passeriformes,729,Ploceidae,9336,Bubalornis,2494072
buboascalaphus,Bubo ascalaphus,,,5959134,"Bubo ascalaphus Savigny, 1809",Bubo ascalaphus,SPECIES,Animalia,1,Chordata,44,Aves,212,Strigiformes,1450,Strigidae,9348,Bubo,5959091
bubocinerascens,Bubo cinerascens,,,5959117,"Bubo cinerascens Guerin-Meneville, 1843",Bubo cinerascens,SPECIES,Animalia,1,Chordata,44,Aves,212,Strigiformes,1450,Strigidae,9348,Bubo,5959091
bubolacteus,Bubo lacteus,,,5959139,"Bubo lacteus (Temminck, 1820)",Bubo lacteus,SPECIES,Animalia,1,Chordata,44,Aves,212,Strigiformes,1450,Strigidae,9348,Bubo,5959091
bubulcusibis,Bubulcus ibis,,,2480830,"Bubulcus ibis (Linnaeus, 1758)",Bubulcus ibis,SPECIES,Animalia,1,Chordata,44,Aves,212,Pelecaniformes,7190953,Ardeidae,3685,Bubulcus,2480829
bucorvusabyssinicus,Bucorvus abyssinicus,,,2476042,"Bucorvus abyssinicus (Boddaert, 1783)",Bucorvus abyssinicus,SPECIES,Animalia,1,Chordata,44,Aves,212,Bucerotiformes,716,Bucorvidae,5704,Bucorvus,2476040
bulbostylishispidula,Bulbostylis hispidula,,,5292456,Bulbostylis hispidula (Vahl) R.W.Haines,Bulbostylis hispidula,SPECIES,Plantae,6,Tracheophyta,7707728,Liliopsida,196,Poales,1369,Cyperaceae,7708,Bulbostylis,2719209
