ID,Local_ID,Language_ID,Parameter_ID,Value,Form,Segments,Comment,Source,Cognacy,Loan,Graphemes,Profile
ampari-gypsrueppellii-1,,ampari,gypsrueppellii,dúwà,dúwà,,,,,,,
ampari-gyrocarpusamericanussubsppinnatilobuskubitzki-1,,ampari,gyrocarpusamericanussubsppinnatilobuskubitzki,pòróm pórè,pòróm pórè,,,,,,,
ampari-heeriainsignis-1,,ampari,heeriainsignis,àràmbúrú ɛ̀ntíyɛ̀,àràmbúrú ɛ̀ntíyɛ̀,,,,,,,
ampari-heliocheilusalbipunctella-1,,ampari,heliocheilusalbipunctella,sì: búndɛ̀,sì: búndɛ̀,,,,,,,
ampari-heliosciurusgambianus-1,,ampari,heliosciurusgambianus,kòmé ŋ̀gàwà,kòmé ŋ̀gàwà,,,,,,,
ampari-heteracrisannulosa-1,,ampari,heteracrisannulosa,sɔ̌ŋ káyà,sɔ̌ŋ káyà,,,,,,,
ampari-hexalobusmonopetalus-1,,ampari,hexalobusmonopetalus,gúnjúm,gúnjúm,,,,,,,
ampari-hibiscuscannabinus-1,,ampari,hibiscuscannabinus,pólí,pólí,,,,,,,
ampari-hibiscuslongisepalus-1,,ampari,hibiscuslongisepalus,ànjí tɛ̀wɛ̀,ànjí tɛ̀wɛ̀,,,,,,,
ampari-hibiscusovalifolius-1,,ampari,hibiscusovalifolius,sèré-sèrè,sèré-sèrè,,,,,,,
ampari-hibiscussabdariffa-1,,ampari,hibiscussabdariffa,ánjì,ánjì,,,,,,,
ampari-hippopotamusamphibius-1,,ampari,hippopotamusamphibius,gábú,gábú,,,,,,,
ampari-homoxyrrhepespunctipennis-1,,ampari,homoxyrrhepespunctipennis,pòlí káyà,pòlí káyà,,,,,,,
ampari-hoplobatrachusoccipitalis-1,,ampari,hoplobatrachusoccipitalis,šàndêy,šàndêy,,,,,,,
ampari-hyaenahyaena-1,,ampari,hyaenahyaena,kàwà-kɔ́:rɛ́,kàwà-kɔ́:rɛ́,,,,,,,
ampari-hydrocynusforskahlii-1,,ampari,hydrocynusforskahlii,ná:ráwⁿ,ná:ráwⁿ,,,,,,,
ampari-hyphaenethebaica-1,,ampari,hyphaenethebaica,kǎ:nì,kǎ:nì,,,,,,,
ampari-hypoderma-1,,ampari,hypoderma,kêw,kêw,,,,,,,
ampari-hyptisspicigera-1,,ampari,hyptisspicigera,wɔ̀mbɔ́ kɔ́jì,wɔ̀mbɔ́ kɔ́jì,,,,,,,
ampari-hystrixcristata-1,,ampari,hystrixcristata,kɛ̀rúmɛ̀,kɛ̀rúmɛ̀,,,,,,,
ampari-ichneumiaalbicauda-1,,ampari,ichneumiaalbicauda,mìndígà,mìndígà,,,,,,,
ampari-ichneumiaalbicauda-2,,ampari,ichneumiaalbicauda,wɔ́mbɔ́ búndì,wɔ́mbɔ́ búndì,,,,,,,
ampari-ictonyxstriatus-1,,ampari,ictonyxstriatus,tírí:ⁿ bɔ̀:rùwɛ̀,tírí:ⁿ bɔ̀:rùwɛ̀,,,,,,,
ampari-indigoferatinctoriatinctoria-1,,ampari,indigoferatinctoriatinctoria,gàrà,gàrà,,,,,,,
ampari-ipomoeaaquatica-1,,ampari,ipomoeaaquatica,gámárájí,gámárájí,,,,,,,
